timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
06/01/2000 23:33:30,0,0,0.001393581
06/01/2000 23:33:45,0,0,0.001282016
06/01/2000 23:34:00,0,0,0.001303512
06/01/2000 23:34:15,0,0,0.002090665
06/01/2000 23:34:30,0,0,0.001360857
06/01/2000 23:34:45,0,0,0.001363142
06/01/2000 23:35:00,0,0,0.001377573
06/01/2000 23:35:15,0,0,0.001381783
06/01/2000 23:35:30,0,0,0.001487696
06/01/2000 23:35:45,0,0,0.001476732
06/01/2000 23:36:00,0,0,0.001418337
06/01/2000 23:36:15,0,0,0.001401952
06/01/2000 23:36:30,0,0,0.001494575
06/01/2000 23:36:45,0,0,0.001343849
06/01/2000 23:37:00,0,0,0.00147325
06/01/2000 23:37:15,0,0,0.001395384
06/01/2000 23:37:30,0,0,0.001425463
06/01/2000 23:37:45,0,0,0.001402969
06/01/2000 23:38:00,0,0,0.001636186
06/01/2000 23:38:15,0,0,0.001549709
06/01/2000 23:38:30,0,0,0.001430152
06/01/2000 23:38:45,0,0,0.001448014
06/01/2000 23:39:00,0,0,0.001435614
06/01/2000 23:39:15,0,0,0.005749249
06/01/2000 23:39:30,0,0,0.001910319
06/01/2000 23:39:45,0,0,0.001981617
06/01/2000 23:40:00,0,0,0.002349192
06/01/2000 23:40:15,0,0,0.003501213
06/01/2000 23:40:30,0,0,0.001279971
06/01/2000 23:40:45,0,0,0.001115335
06/01/2000 23:41:00,0,0,0.00116413
06/01/2000 23:41:15,0,0,0.001168629
06/01/2000 23:41:30,0,0,0.001214322
06/01/2000 23:41:45,0,0,0.00122235
06/01/2000 23:42:00,0,0,0.00124238
06/01/2000 23:42:15,0,0,0.001299557
06/01/2000 23:42:30,0,0,0.001213867
06/01/2000 23:42:45,0,0,0.00122634
06/01/2000 23:43:00,0,0,0.001243477
06/01/2000 23:43:15,0,0,0.001238052
06/01/2000 23:43:30,0,0,0.001122648
06/01/2000 23:43:45,0,0,0.001787846
06/01/2000 23:44:00,0,0,0.001046378
06/01/2000 23:44:15,0,0,0.001124618
06/01/2000 23:44:30,0,0,0.001055946
06/01/2000 23:44:45,0,0,0.001109122
06/01/2000 23:45:00,0,0,0.001059547
06/01/2000 23:45:15,0,0,0.001085449
06/01/2000 23:45:30,0,0,0.001071432
06/01/2000 23:45:45,0,0,0.001065531
06/01/2000 23:46:00,0,0,0.001042188
06/01/2000 23:46:15,0,0,0.00106762
06/01/2000 23:46:30,0,0,0.001081403
06/01/2000 23:46:45,0,0,0.001053181
06/01/2000 23:47:00,0,0,0.001046012
06/01/2000 23:47:15,0,0,0.001079196
06/01/2000 23:47:30,0,0,0.00169185
06/01/2000 23:47:45,0,0,0.001216725
06/01/2000 23:48:00,0,0,0.001225904
06/01/2000 23:48:15,0,0,0.001206535
06/01/2000 23:48:30,0,0,0.001194973
06/01/2000 23:48:45,0,0,0.001189003
06/01/2000 23:49:00,0,0,0.001232351
06/01/2000 23:49:15,0,0,0.001234422
